Proportion_of_deep_sleep,Proportion_of_awake_time,Total_duration,Sleep_score
-1.37,2.96,0.88,-0.80
-0.65,1.06,1.86,0.03
1.66,0.43,-1.23,-0.80
-1.09,-0.20,0.57,0.03
0.50,-0.20,0.37,1.70
-1.52,1.06,0.50,-0.80
0.07,-0.20,0.11,1.70
-0.65,-0.20,3.41,0.03
-0.51,-0.20,2.58,0.87
0.36,0.43,0.53,1.70
2.09,-0.84,0.63,1.70
0.50,-0.20,-0.19,1.70
1.08,-0.20,0.17,1.70
0.79,-0.20,-0.44,-0.80
0.07,0.43,0.83,0.87
0.07,-0.20,1.40,1.70
-1.23,-0.20,-0.43,-0.80
-0.22,-0.20,-0.10,0.87
-1.23,-0.20,-0.71,-0.80
0.50,0.43,-0.03,1.70
-0.65,-0.20,-0.73,-0.80
-0.80,-0.20,0.50,0.03
1.80,-0.84,-0.04,0.87
1.80,-0.20,-0.64,-0.80
-0.22,-0.84,-0.86,-0.80
-0.65,-0.84,-0.52,-0.80
1.66,-1.47,-0.77,-0.80
-1.23,-0.20,-1.93,-0.80
-0.94,0.43,-0.30,-0.80
-0.08,-0.20,-0.44,-0.80
-0.80,-0.84,-0.68,-0.80
-1.23,1.70,0.34,-0.80
-0.65,-0.20,-0.30,0.03
-0.65,-0.84,-0.59,-0.80
1.08,3.59,1.63,0.03
0.07,-0.20,1.89,0.87
0.36,-0.20,-0.32,0.03
-0.51,2.96,-0.59,-0.80
0.07,-0.20,-0.48,-0.80
-0.22,-0.20,-1.31,-0.80
-1.95,-0.84,-0.84,-0.80
-0.94,0.43,-1.05,-0.80
-1.23,0.43,0.27,0.03
1.22,-1.47,-0.79,-0.80
0.79,0.43,-0.88,-0.80
0.94,-0.20,0.42,1.70
1.22,-0.84,-0.56,-0.80
0.94,-0.84,0.06,1.70
0.94,-0.84,-0.73,-0.80
0.65,-0.84,-0.48,-0.80
