Proportion_of_deep_time,Proportion_of_awake_time,Total_duration,Sleep_score
0.12,0.69,1.66,0.79
0.12,-0.46,1.11,1.65
0.28,-0.46,-0.83,-0.93
0.92,-0.46,0.63,1.65
-0.67,0.11,-0.7,-0.93
0.12,-0.46,-0.36,-0.93
-1.63,0.11,-0.41,-0.93
-0.04,-0.46,-1.08,-0.93
1.56,-1.03,-0.88,-0.93
0.6,-1.03,-0.95,-0.93
0.6,-0.46,0.52,0.79
-0.51,-0.46,1.66,1.65
-1.15,0.69,-0.93,-0.93
0.12,0.11,-0.2,-0.07
1.72,-1.03,-0.68,-0.93
-1.47,-0.46,-0.64,-0.93
0.12,-1.03,-0.83,-0.93
1.24,-0.46,-0.82,-0.93
0.28,-1.03,0.47,1.65
-0.04,2.98,0.46,-0.07
-0.19,0.11,0.24,1.65
0.92,0.69,-0.8,-0.93
0.44,-1.03,0.78,1.65
1.56,-1.03,-0.87,-0.93
0.6,-0.46,-0.73,-0.93
-0.99,0.11,0.94,0.79
0.44,-0.46,-0.56,-0.07
-0.19,-0.46,-0.73,-0.93
0.92,-1.03,0,0.79
-1.63,-0.46,0.01,-0.07
-1.63,0.11,1.13,-0.07
-1.63,0.11,-0.2,-0.07
0.12,1.26,-0.15,0.79
1.4,0.11,-0.21,-0.07
1.56,-0.46,-0.61,-0.93
2.03,-0.46,0.77,0.79
-1.47,0.11,0.78,-0.07
0.12,0.11,0.1,1.65
-0.04,-1.03,-1.42,-0.93
-0.83,-0.46,-1.44,-0.93
-0.04,0.11,0.03,-0.07
-0.83,1.26,0.29,-0.07
1.08,-1.03,2.1,1.65
-1.79,1.84,-0.13,-0.07
-1.31,0.69,-1.08,-0.93
0.28,0.11,-2.02,-0.93
0.44,2.41,0.68,-0.07
-0.04,0.11,1.81,1.65
-0.19,0.11,1.19,1.65
-1.37,2.96,0.88,-0.8
-0.65,1.06,1.86,0.03
1.66,0.43,-1.23,-0.8
-1.09,-0.2,0.57,0.03
0.5,-0.2,0.37,1.7
-1.52,1.06,0.5,-0.8
0.07,-0.2,0.11,1.7
-0.51,-0.2,2.58,0.87
0.36,0.43,0.53,1.7
2.09,-0.84,0.63,1.7
0.5,-0.2,-0.19,1.7
1.08,-0.2,0.17,1.7
0.79,-0.2,-0.44,-0.8
0.07,0.43,0.83,0.87
0.07,-0.2,1.4,1.7
-1.23,-0.2,-0.43,-0.8
-0.22,-0.2,-0.1,0.87
-1.23,-0.2,-0.71,-0.8
0.5,0.43,-0.03,1.7
-0.65,-0.2,-0.73,-0.8
-0.8,-0.2,0.5,0.03
1.8,-0.84,-0.04,0.87
1.8,-0.2,-0.64,-0.8
-0.22,-0.84,-0.86,-0.8
-0.65,-0.84,-0.52,-0.8
1.66,-1.47,-0.77,-0.8
-1.23,-0.2,-1.93,-0.8
-0.94,0.43,-0.3,-0.8
-0.08,-0.2,-0.44,-0.8
-0.8,-0.84,-0.68,-0.8
-1.23,1.7,0.34,-0.8
-0.65,-0.2,-0.3,0.03
-0.65,-0.84,-0.59,-0.8
0.07,-0.2,1.89,0.87
0.36,-0.2,-0.32,0.03
-0.51,2.96,-0.59,-0.8
0.07,-0.2,-0.48,-0.8
-0.22,-0.2,-1.31,-0.8
-1.95,-0.84,-0.84,-0.8
-0.94,0.43,-1.05,-0.8
-1.23,0.43,0.27,0.03
1.22,-1.47,-0.79,-0.8
0.79,0.43,-0.88,-0.8
0.94,-0.2,0.42,1.7
1.22,-0.84,-0.56,-0.8
0.94,-0.84,0.06,1.7
0.94,-0.84,-0.73,-0.8
0.65,-0.84,-0.48,-0.8
